IDpassageiro,Nome,Deck,NumeroCabine,PosicaoCabine,Procedencia,Destino,Idade,VIP,AllInclusive,ServicoCabine,Restaurante,Shopping,SPA,ParquedeAguas,Sobrevivente
8760_01,Tance Alvasquez,F,1696,S,Europa,Outros,22.0,0,0,804.0,0.0,0.0,0.0,0.0,0
5165_01,Alancy Collinson,F,989,S,Europa,Grecia,63.0,0,0,0.0,281.0,94.0,0.0,270.0,1
6511_03,Thelix Gainney,G,1055,P,Europa,Monaco,0.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4625_05,Azharga Ineedeve,B,183,S,America,Grecia,17.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6446_03,Willip Yatters,G,1047,S,Europa,Grecia,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8092_02,Hekabih Pulgaly,D,238,S,America,Monaco,33.0,1,1,0.0,0.0,0.0,0.0,0.0,1
0188_01,Branda Romez,G,31,S,Europa,Grecia,56.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6568_01,Ianya Jacostaney,F,1366,P,Europa,Monaco,36.0,0,0,695.0,0.0,0.0,0.0,0.0,0
5551_01,Rayley Foledges,G,888,P,Europa,Grecia,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4280_01,Lidenx Icake,E,267,P,Africa,Grecia,24.0,0,0,0.0,0.0,0.0,0.0,0.0,0
3361_02,Bet Sinda,F,635,S,Africa,Grecia,9.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0682_01,Grany Cla,F,121,S,Africa,Grecia,38.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3174_01,Berios Homin,D,101,P,Africa,Outros,19.0,0,0,155.0,0.0,1632.0,3.0,0.0,1
0020_01,Almary Brantuarez,E,0,S,Europa,Grecia,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5085_01,Alie Grahangory,F,970,S,Europa,Grecia,20.0,0,0,0.0,15.0,455.0,95.0,0.0,1
6454_01,Tin Byerton,G,1046,P,Europa,Grecia,44.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4726_04,Hekabih Praugnox,C,187,S,America,Grecia,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5984_01,Gech Kin,D,187,P,Africa,Malta,38.0,0,0,1208.0,0.0,13.0,38.0,0.0,1
3628_01,Vanez Hammonton,F,752,P,Europa,Monaco,18.0,0,0,42.0,103.0,0.0,498.0,0.0,0
7395_04,Beten Suasharic,B,277,S,America,Monaco,43.0,1,0,0.0,486.0,0.0,0.0,2470.0,0
3324_02,Guink Buche,F,630,S,Africa,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7809_01,Guts Sty,F,1493,S,Africa,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6390_01,Ton Kellson,G,1036,S,Europa,Grecia,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6665_03,Tachba Disivering,B,222,P,America,Grecia,53.0,0,0,0.0,0.0,0.0,0.0,0.0,1
2009_03,Gluebah Contery,B,59,P,America,Monaco,40.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1861_02,Apix Clake,F,358,S,Africa,Grecia,61.0,0,0,953.0,415.0,974.0,0.0,133.0,0
5384_02,Sulatik Dinger,A,65,S,America,Grecia,26.0,0,0,0.0,4894.0,0.0,62.0,85.0,1
4607_01,Ronard Hoppers,G,751,P,Europa,Malta,23.0,0,0,0.0,138.0,4.0,412.0,220.0,0
7999_01,Arraiam Bealvewd,B,262,P,America,Monaco,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3995_02,Charly Casonston,F,825,P,Europa,Malta,40.0,0,0,0.0,0.0,310.0,1.0,421.0,0
7922_01,Lloyde Llobsoney,F,1517,S,Europa,Grecia,39.0,0,0,3030.0,79.0,0.0,0.0,0.0,0
4465_03,Gemmark Diabysid,A,54,S,America,Grecia,28.0,0,0,0.0,1883.0,0.0,1.0,4560.0,0
7748_02,Almino Obsentork,A,94,S,America,Grecia,39.0,1,0,0.0,395.0,0.0,1012.0,1080.0,0
6816_05,Lerion Ewiseston,G,1108,P,Europa,Monaco,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0
8354_01,Phargak Springht,B,323,S,America,Grecia,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6750_01,Rona Goody,G,1094,P,Europa,Grecia,29.0,0,0,0.0,95.0,424.0,1.0,364.0,0
6431_03,Adriet Kramosley,G,1038,P,Europa,Monaco,27.0,0,0,30.0,0.0,763.0,0.0,57.0,0
2518_01,Minon Fouseding,C,87,P,America,Grecia,29.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3236_01,Garyan Woody,G,524,P,Europa,Monaco,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7784_01,Cray Berte,F,1615,P,Africa,Grecia,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7661_01,Dorene Water,G,1245,S,Europa,Grecia,10.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8985_01,Robyny Blancoy,F,1842,P,Europa,Monaco,22.0,0,0,0.0,0.0,626.0,0.0,14.0,0
8762_01,Benry Cardner,G,1410,S,Europa,Grecia,30.0,0,0,32.0,180.0,497.0,0.0,99.0,1
3095_01,Aarjel Rhuba,F,585,S,Africa,Malta,71.0,0,0,924.0,1284.0,10.0,9.0,0.0,0
7017_01,Netty Watkinsley,G,1133,P,Europa,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3650_01,Darrie Keithunts,G,596,P,Europa,Grecia,37.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3488_01,Luxab Hoorbaring,D,110,P,America,Grecia,26.0,0,0,0.0,0.0,0.0,0.0,0.0,0
8749_01,Risps Cuche,E,562,P,Africa,Grecia,31.0,0,0,947.0,83.0,19.0,0.0,0.0,0
8728_05,Weslie Fulloydez,G,1416,P,Europa,Monaco,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2857_01,Hanry Larlowelley,F,545,S,Europa,Malta,29.0,0,0,631.0,0.0,0.0,40.0,0.0,0
5589_01,Fayen Hermanapp,F,1160,P,Europa,Grecia,26.0,0,0,0.0,786.0,0.0,11.0,83.0,1
4553_01,Auvam Watuald,C,143,P,America,Malta,55.0,1,0,0.0,102.0,0.0,278.0,5353.0,0
3104_02,Lorice Fowles,G,507,P,Europa,Grecia,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3909_01,Alcorix Scoudelle,C,141,S,America,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0771_01,Troyra Steeletters,G,112,P,Europa,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,0
2540_01,Weers Chort,E,177,S,Africa,Grecia,24.0,0,0,345.0,0.0,451.0,0.0,582.0,0
1501_01,Julin Fryan,G,243,P,Europa,Grecia,63.0,0,0,0.0,216.0,0.0,594.0,0.0,0
0481_01,Gera Peckerson,G,70,S,Europa,Grecia,13.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2651_01,Sarid Geakerat,B,100,S,America,Monaco,44.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0969_01,Lar Emone,F,202,P,Africa,Grecia,44.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7310_01,Toale Bette,D,229,P,Africa,Grecia,28.0,0,0,1059.0,0.0,6.0,117.0,0.0,0
6228_01,Yolas Maystuarey,G,1007,S,Europa,Grecia,38.0,0,0,0.0,709.0,39.0,62.0,0.0,1
3262_01,Jodia Pottmanley,F,681,P,Europa,Grecia,32.0,0,0,0.0,632.0,0.0,0.0,0.0,0
4251_01,Dorice Connelson,F,879,P,Europa,Grecia,29.0,0,0,715.0,0.0,0.0,698.0,106.0,0
4207_01,Scepton Perable,B,163,S,Outros,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4047_01,Ivanne Rivanseney,G,666,S,Europa,Grecia,29.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6674_04,Acruxon Swirring,E,426,P,America,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3209_01,Ech Nutca,F,672,P,Africa,Grecia,10.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7036_01,Glena Fryan,G,1136,P,Europa,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0638_01,Eleonon Geoconne,B,28,P,America,Monaco,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1527_01,Dirius Boderbint,D,49,P,America,Monaco,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0599_04,Honjay Crité,F,124,P,Africa,Grecia,9.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3297_01,Trick Carlsonney,F,686,P,Europa,Grecia,64.0,0,0,313.0,782.0,8.0,0.0,0.0,0
2040_02,Alramak Stiven,B,85,S,America,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3182_01,Herita Welltonces,F,600,S,Europa,Grecia,18.0,0,0,0.0,0.0,699.0,0.0,0.0,1
8105_01,Shan Villenson,F,1677,P,Europa,Malta,18.0,0,0,0.0,0.0,15.0,570.0,84.0,0
6092_01,Karlie Singtons,F,1161,S,Europa,Grecia,16.0,0,0,0.0,0.0,641.0,33.0,29.0,1
8544_01,Yolana Booters,F,1647,S,Europa,Grecia,15.0,0,0,114.0,161.0,22.0,419.0,0.0,0
2059_01,Ellena Moodmandez,G,333,P,Europa,Grecia,55.0,0,0,2.0,0.0,0.0,0.0,907.0,1
6207_02,Cinkes Brity,F,1278,P,Africa,Grecia,4.0,0,0,0.0,0.0,0.0,0.0,0.0,1
0635_01,Ronna Powery,G,94,S,Europa,Grecia,35.0,0,0,0.0,1778.0,0.0,0.0,0.0,1
5824_01,Carry Contrevins,G,940,P,Europa,Monaco,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2376_01,Harlos Coffmaney,F,459,S,Europa,Monaco,22.0,0,0,0.0,30.0,0.0,0.0,673.0,0
8956_07,Lolas Bonnondry,F,1838,P,Europa,Monaco,39.0,0,0,0.0,0.0,1291.0,224.0,0.0,0
5901_01,Kennie Castannison,F,1221,P,Europa,Monaco,15.0,0,0,0.0,40.0,0.0,0.0,839.0,0
7800_01,Alvira Potterry,G,1251,P,Europa,Grecia,15.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3253_01,Lardy Thorney,G,528,P,Europa,Grecia,21.0,0,0,0.0,0.0,687.0,46.0,20.0,0
5423_01,Almone Prine,F,1116,P,Africa,Grecia,49.0,0,0,552.0,0.0,7.0,0.0,183.0,0
4530_01,Fanna Leonaldez,F,933,P,Europa,Grecia,20.0,0,0,9.0,0.0,157.0,525.0,0.0,0
8824_01,Ruthy Whiters,F,1819,P,Europa,Grecia,29.0,0,0,128.0,0.0,130.0,132.0,473.0,0
3022_01,Ankab Speating,C,102,P,America,Grecia,38.0,0,0,0.0,3331.0,270.0,2.0,3510.0,0
7219_05,Anchab Arible,C,235,P,America,Grecia,40.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2234_01,Newtch Gen,F,448,P,Africa,Monaco,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8410_01,Joyn Guezaley,F,1615,S,Europa,Grecia,52.0,0,0,289.0,302.0,0.0,112.0,0.0,0
2572_02,Spuri Suptibler,C,93,S,America,Monaco,56.0,1,1,0.0,0.0,0.0,0.0,0.0,1
3765_01,Jayrin Cle,F,709,S,Africa,Grecia,24.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3314_01,Maurie Hornettoney,F,626,S,Europa,Grecia,19.0,0,0,260.0,0.0,238.0,139.0,8.0,0
8405_01,Randa Bairdford,G,1372,P,Europa,Grecia,37.0,0,0,0.0,0.0,1025.0,0.0,0.0,1
6462_02,Gibers Cure,F,1233,S,Africa,Grecia,21.0,0,0,899.0,1.0,1686.0,13.0,0.0,1
8794_01,Rence Slatessen,E,563,P,Europa,Grecia,22.0,0,0,0.0,0.0,637.0,0.0,50.0,1
2509_01,Wen Georgasey,F,483,S,Europa,Grecia,43.0,0,0,0.0,9.0,1145.0,0.0,0.0,0
0220_04,Dont Wilsoney,E,10,P,Europa,Grecia,25.0,0,0,122.0,84.0,0.0,0.0,0.0,0
5014_02,Moste Porté,F,1022,P,Africa,Grecia,5.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8295_01,Skies Upead,F,1591,S,Africa,Grecia,40.0,0,0,1309.0,0.0,0.0,0.0,0.0,0
4189_01,Wayney Petermandez,G,686,S,Europa,Monaco,17.0,0,0,558.0,0.0,3.0,0.0,1226.0,0
2899_01,Monch Buth,F,600,P,Africa,Grecia,28.0,0,0,523.0,0.0,0.0,970.0,0.0,0
2256_01,Aarone Batestonley,G,360,S,Europa,Grecia,47.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4597_01,Kayd Weavesend,G,748,P,Europa,Grecia,32.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4888_01,Mark Tairbatic,C,192,S,America,Grecia,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4871_01,Anniey Mccarry,F,990,P,Europa,Malta,13.0,0,0,0.0,611.0,0.0,0.0,0.0,0
8709_01,Sallie Cartyernan,F,1687,S,Europa,Grecia,36.0,0,0,0.0,98.0,456.0,277.0,70.0,0
8335_01,Gons Flell,E,531,P,Africa,Grecia,30.0,0,0,697.0,0.0,602.0,0.0,0.0,0
0045_01,Zelowl Chmad,F,10,P,Africa,Grecia,21.0,0,0,970.0,0.0,180.0,0.0,64.0,0
8638_03,Britta Holliams,G,1402,P,Europa,Monaco,3.0,0,0,0.0,0.0,0.0,0.0,0.0,1
9178_01,Ernard Barnoldeney,F,1877,P,Europa,Grecia,53.0,0,0,49.0,584.0,0.0,0.0,70.0,0
5127_02,Faithy Yanton,F,983,S,Europa,Grecia,16.0,0,0,43.0,0.0,0.0,1893.0,119.0,0
2545_01,Joycey Hoppernardy,G,410,P,Europa,Monaco,78.0,0,1,0.0,0.0,0.0,0.0,0.0,0
8865_01,Bettie Sancockett,F,1826,P,Europa,Grecia,24.0,0,0,121.0,10.0,341.0,307.0,47.0,0
0647_03,Oareel Deeke,F,115,S,Africa,Grecia,33.0,0,0,105.0,0.0,1087.0,0.0,0.0,0
8712_01,Blesh Snoff,F,1792,P,Africa,Grecia,14.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5909_01,Luisy Fryan,F,1127,S,Europa,Monaco,19.0,0,0,0.0,716.0,0.0,0.0,0.0,1
3357_01,Kerrie Pollarkeeks,G,535,S,Europa,Malta,18.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4958_01,Ivanna Flemaney,G,810,S,Europa,Grecia,32.0,0,0,0.0,235.0,0.0,474.0,0.0,0
8307_01,Porrimp Unkcal,A,100,S,America,Monaco,27.0,1,0,0.0,1337.0,1929.0,0.0,0.0,1
1259_01,Eulahy Mcguirez,F,243,S,Europa,Grecia,19.0,0,0,0.0,0.0,619.0,0.0,142.0,0
3301_03,Yolace Domington,G,525,S,Europa,Monaco,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1
3121_01,Trice Moreman,G,491,S,Europa,Malta,6.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8843_01,Zedares Rinicapead,C,327,S,America,Grecia,31.0,0,0,0.0,927.0,0.0,2760.0,1.0,0
5256_01,Luse Tirt,D,159,S,Africa,Grecia,26.0,0,0,41.0,0.0,444.0,572.0,0.0,0
5299_01,Brina Coopezmaney,G,863,S,Europa,Grecia,16.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6004_01,Popow Meate,F,1143,S,Africa,Grecia,21.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5156_01,Sabiark Traild,B,200,S,America,Monaco,21.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1940_01,Wins Bate,F,386,P,Africa,Grecia,27.0,0,0,120.0,0.0,1476.0,3.0,0.0,0
1460_02,Eduana Williotters,G,230,P,Europa,Malta,13.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7873_01,Eduana Carpentley,F,1634,P,Outros,Grecia,24.0,0,0,569.0,156.0,0.0,12.0,0.0,0
8103_01,Dicks Botie,F,1675,P,Africa,Grecia,34.0,0,0,81.0,0.0,492.0,122.0,0.0,0
5756_01,Card Dicksons,F,1194,P,Europa,Grecia,51.0,0,0,542.0,0.0,360.0,0.0,0.0,0
5619_01,Gordo Freder,G,908,S,Europa,Monaco,28.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6531_01,Rena Hineyley,G,1064,S,Europa,Monaco,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8668_02,Mulk Rapie,D,269,P,Africa,Grecia,41.0,0,0,806.0,16.0,125.0,1008.0,0.0,0
0253_01,Dawne Cardner,G,42,P,Europa,Grecia,29.0,0,0,272.0,615.0,0.0,0.0,1.0,0
4927_02,Naish Brele,F,937,S,Africa,Grecia,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0569_01,Tin Merce,F,116,P,Europa,Grecia,23.0,0,0,0.0,334.0,310.0,0.0,0.0,1
7649_01,Toniel Reenon,G,1241,S,Europa,Grecia,24.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8968_01,Phamark Watorivedy,E,588,S,America,Grecia,51.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2589_01,Alasmon Meteet,C,91,P,America,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5945_03,Alancy Morez,G,970,S,Europa,Malta,47.0,0,0,163.0,2.0,11.0,593.0,0.0,1
5106_01,Helle Barrez,G,834,S,Europa,Grecia,29.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5843_01,Hughy Hessey,G,947,S,Europa,Grecia,58.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6708_03,Furuson Sysilstict,A,67,P,America,Grecia,36.0,0,0,994.0,526.0,0.0,7.0,1279.0,0
2919_03,Stmeal Kra,F,555,S,Africa,Grecia,6.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2423_01,Bonya Boltond,G,395,P,Europa,Grecia,20.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5514_02,Shanie Monroellynn,G,889,S,Europa,Malta,2.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5686_02,Pil Cry,D,180,P,Africa,Monaco,25.0,0,0,1410.0,123.0,26.0,9.0,812.0,0
8500_01,Chios Purte,F,1743,P,Africa,Grecia,31.0,0,0,49.0,322.0,977.0,0.0,0.0,1
8844_01,Jacky Wynneyerson,E,579,S,Europa,Monaco,19.0,0,0,0.0,0.0,717.0,1.0,0.0,1
2956_01,Tonnie Houseson,G,470,S,Europa,Malta,28.0,0,0,3.0,141.0,0.0,0.0,1689.0,0
4044_03,Rowls Can,F,765,S,Africa,Grecia,10.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4784_01,Bon Pert,F,903,S,Africa,Grecia,21.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4814_01,Walla Lunapperts,G,788,S,Europa,Monaco,22.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8152_01,Stanya Bullisey,G,1312,S,Europa,Grecia,19.0,0,1,0.0,0.0,0.0,0.0,0.0,0
0820_01,Hanry Strongers,F,154,S,Europa,Monaco,15.0,0,0,0.0,59.0,714.0,0.0,3.0,1
2626_01,Tarah Barks,F,543,P,Europa,Grecia,19.0,0,0,232.0,0.0,479.0,0.0,5.0,0
6428_01,Nesch Pumbody,C,198,P,America,Monaco,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1889_02,Lerome Hewson,G,307,P,Europa,Grecia,5.0,0,1,0.0,0.0,0.0,0.0,0.0,0
5608_01,Son Mclainez,F,1164,P,Europa,Grecia,14.0,0,0,30.0,757.0,115.0,0.0,0.0,1
9057_02,Sitron Statch,B,296,P,America,Grecia,55.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5103_01,Proxima Poless,E,317,P,America,Grecia,56.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8133_01,Gra Suncy,D,254,P,Africa,Grecia,27.0,0,0,831.0,0.0,0.0,867.0,20.0,0
9227_03,Paulas Hinglendez,G,1498,P,Europa,Malta,1.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4101_01,Tyog Rapie,F,773,S,Africa,Grecia,38.0,0,0,1100.0,43.0,163.0,3.0,0.0,0
8732_01,Lestie Jacostaffey,F,1691,S,Europa,Grecia,19.0,0,0,193.0,251.0,0.0,165.0,0.0,0
4974_01,Thabih Vendeck,A,44,P,America,Grecia,56.0,0,0,0.0,10.0,0.0,9319.0,1225.0,0
1898_01,Walles Fishopper,G,296,S,Europa,Monaco,21.0,0,1,0.0,0.0,0.0,0.0,0.0,0
6302_06,Branca Simsey,G,1015,P,Europa,Monaco,12.0,0,0,0.0,0.0,0.0,0.0,0.0,1
6843_02,Saxinon Rimplighty,B,260,S,America,Monaco,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7757_02,Dyonevi Capplid,B,300,S,America,Grecia,43.0,0,0,0.0,8948.0,0.0,153.0,872.0,1
5785_01,Dwin Mcgoway,F,1104,S,Europa,Malta,34.0,0,0,571.0,0.0,0.0,0.0,0.0,0
5198_01,Lish Fla,F,1059,P,Africa,Grecia,45.0,0,0,878.0,0.0,430.0,0.0,0.0,0
4357_01,Fles Ses,D,148,P,Africa,Grecia,23.0,0,0,118.0,0.0,949.0,206.0,2071.0,0
1130_01,Guaney Cako,E,81,S,Africa,Grecia,23.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4564_01,Tera Merkins,G,745,P,Europa,Grecia,30.0,0,0,0.0,43.0,0.0,0.0,6.0,0
5300_01,Healle Klindsayer,G,864,S,Europa,Monaco,51.0,0,1,0.0,0.0,0.0,0.0,0.0,1
2706_01,Alchium Ressighty,B,102,S,America,Monaco,27.0,0,1,0.0,0.0,0.0,0.0,0.0,1
5696_01,Janney Mcgoway,G,911,P,Europa,Malta,33.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7952_01,Yots Sueke,F,1523,S,Africa,Outros,62.0,0,0,100.0,0.0,38.0,1211.0,0.0,0
4777_01,Chary Munozaley,G,779,S,Europa,Grecia,31.0,0,1,0.0,0.0,0.0,0.0,0.0,1
1323_01,Jilla Gamberson,F,267,P,Europa,Monaco,23.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7341_01,Brene Horners,G,1191,S,Europa,Monaco,16.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4336_04,Krazet Gloother,C,155,S,America,Monaco,40.0,0,0,2320.0,0.0,4874.0,3131.0,498.0,1
7583_01,Pebuts Pert,F,1574,P,Africa,Grecia,36.0,0,0,32.0,355.0,1826.0,9.0,0.0,1
7080_01,Jonaye Carpennels,G,1140,P,Europa,Monaco,37.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3995_05,Ericky Casonston,G,655,P,Europa,Grecia,3.0,0,0,0.0,0.0,0.0,0.0,0.0,0
5739_01,Courta Cleminglas,G,930,S,Europa,Grecia,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
3287_03,Therie Carlsonney,F,621,S,Europa,Monaco,18.0,0,0,0.0,0.0,14.0,625.0,0.0,0
7313_01,Conth Kashe,D,231,P,Africa,Grecia,41.0,0,0,2754.0,398.0,21.0,0.0,0.0,0
0146_01,Verly Wolferguson,G,25,S,Europa,Grecia,56.0,0,0,0.0,0.0,0.0,0.0,0.0,0
7984_03,Smal Birt,F,1653,P,Africa,Grecia,23.0,0,0,649.0,0.0,622.0,0.0,0.0,1
0942_01,Triple Vloaf,F,196,P,Africa,Grecia,18.0,0,0,594.0,0.0,555.0,0.0,0.0,0
0834_01,Garry Pacerty,F,173,P,Europa,Grecia,31.0,0,0,0.0,0.0,0.0,838.0,27.0,0
3658_02,Vin Daughttley,E,245,S,Europa,Grecia,24.0,0,0,3.0,2053.0,335.0,0.0,4.0,1
8072_01,Mareson Prombled,D,236,S,America,Grecia,26.0,0,1,0.0,0.0,0.0,0.0,0.0,1
4452_01,Lison Blace,G,727,S,Europa,Grecia,30.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0384_02,Ellard Simpsonks,G,56,S,Europa,Grecia,14.0,0,0,3.0,0.0,881.0,25.0,0.0,1
6405_03,Andary Toddleton,G,1039,S,Europa,Grecia,25.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8862_01,Pharmus Myling,C,329,S,America,Monaco,34.0,0,0,0.0,3126.0,0.0,112.0,15.0,1
5006_03,Alark Stingive,B,166,P,America,Grecia,20.0,0,0,0.0,219.0,0.0,5.0,3283.0,0
9131_01,Dirk Wirybody,C,303,P,America,Monaco,33.0,0,0,0.0,1961.0,0.0,226.0,1077.0,0
9179_04,Jonald Tranciams,G,1494,P,Europa,Grecia,39.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0020_03,Mollen Mcfaddennon,E,0,S,Europa,Monaco,29.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4585_01,Skatz Wasterivel,B,182,S,America,Monaco,32.0,0,0,0.0,154.0,0.0,5492.0,1924.0,0
3014_01,Alduson Oilpuring,C,115,S,America,Monaco,40.0,0,0,82.0,1390.0,0.0,347.0,6237.0,0
8996_01,Dabireo Nalanet,D,285,P,America,Grecia,39.0,0,0,2101.0,41.0,0.0,525.0,19.0,0
5282_01,Florey Torrez,E,337,S,Europa,Grecia,35.0,0,0,35.0,0.0,14.0,0.0,816.0,1
5058_03,Leos Apie,F,963,S,Africa,Grecia,42.0,0,1,0.0,0.0,0.0,0.0,0.0,1
7879_01,Stancy Horthy,G,1270,P,Europa,Grecia,25.0,0,0,0.0,478.0,71.0,11.0,162.0,0
8178_01,Sha Weavesend,G,1318,S,Europa,Grecia,18.0,0,1,0.0,0.0,0.0,0.0,0.0,1
8759_01,Tart Chate,F,1695,S,Africa,Grecia,25.0,0,0,520.0,0.0,139.0,0.0,77.0,0
6208_01,Seat Burie,F,1279,P,Africa,Monaco,59.0,0,1,0.0,0.0,0.0,0.0,0.0,1
0873_01,Garyan Franton,F,180,P,Europa,Grecia,16.0,0,0,0.0,0.0,32.0,2529.0,92.0,0
5541_01,Cornys Kra,F,1147,P,Africa,Grecia,20.0,0,1,0.0,0.0,0.0,0.0,0.0,1
6339_01,Stanya Schmondez,G,1022,P,Outros,Grecia,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0
5514_03,Ton Monroellynn,G,889,S,Europa,Grecia,27.0,0,0,0.0,6.0,0.0,814.0,107.0,1
3991_01,Elle Joycerton,F,823,P,Europa,Grecia,44.0,0,0,1258.0,3.0,0.0,1.0,0.0,0
6086_01,Grastab Tairbatic,A,72,S,America,Monaco,32.0,0,0,0.0,4176.0,0.0,183.0,6.0,1
9272_02,Gordo Simson,F,1894,P,Europa,Grecia,21.0,0,0,86.0,3.0,149.0,208.0,329.0,0
2624_01,Annard Armstromez,F,542,P,Europa,Grecia,15.0,0,0,0.0,0.0,875.0,3.0,0.0,0
5520_01,Vanard Nasquez,G,890,S,Europa,Grecia,56.0,0,0,0.0,4.0,778.0,0.0,0.0,1
8571_01,Yots Repie,F,1651,S,Africa,Grecia,26.0,0,0,5757.0,0.0,206.0,0.0,0.0,0
1211_04,Erick Pollarkeeks,G,186,S,Europa,Grecia,3.0,0,1,0.0,0.0,0.0,0.0,0.0,0
4498_08,Kendy Munozanson,G,734,S,Europa,Grecia,7.0,0,0,0.0,0.0,0.0,0.0,0.0,0
2347_06,Therry Wellierras,G,377,P,Europa,Monaco,31.0,0,0,1.0,0.0,2.0,605.0,0.0,0
2052_01,Jele Balle,E,151,S,Africa,Grecia,31.0,0,0,162.0,1211.0,4.0,0.0,1.0,1
5689_01,Raceky Scotterkins,F,1180,P,Europa,Grecia,34.0,0,0,233.0,0.0,0.0,1054.0,156.0,0
